INFO | Function: main | 02/17/2022 11:48:19: ------------------- New Execution ----------------

INFO | Function: main | 02/17/2022 11:48:19: Donate on BUSD/BCOIN/ETH/BNB (BEP20): 0xf1e43519fca44d9308f889baf99531ed0de903fc
INFO | Function: main | 02/17/2022 11:48:19: Donate on PayPal: https://www.paypal.com/donate/?hosted_button_id=82CABN6CYVG6U
INFO | Function: main | 02/17/2022 11:48:19: Donate on Nubank: https://nubank.com.br/pagar/1jxcl/z5fyuL6S28
INFO | Function: main | 02/17/2022 11:48:19: Donate on Pix: 42a762ed-e6ec-4059-a88e-f168b9fbc63f
INFO | Function: main | 02/17/2022 11:48:19: Starting Bot..... Bot started!
INFO | Function: main | 02/17/2022 11:48:19: Scheduling to the refresh game every 5 minute(s)!
INFO | Function: main | 02/17/2022 11:48:20: Scheduling the time for ships to fight every 30 minute(s)!
INFO | Function: main | 02/17/2022 11:48:20: Scheduling the time for refreshing the browser every 60 minute(s)!
INFO | Function: main | 02/17/2022 11:48:20: Scheduling to take screenshot from coins every 60 minute(s)!
INFO | Function: get_browser | 02/17/2022 11:48:20: Profiles selected: Principal, SPACE2
INFO | Function: main | 02/17/2022 11:48:20: Number of accounts that the bot will run: 2
INFO | Function: first_start | 02/17/2022 11:48:24: Bot (SPACE2):  First start function..
INFO | Function: continue_fighting | 02/17/2022 11:48:24: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: send_ships_to_fight | 02/17/2022 11:48:25: Bot (SPACE2):  [Work] Calling send ships to fight function..
WARNING | Function: reload_page | 02/17/2022 11:48:26: Bot (SPACE2):  [Reload] Reloading the page in order to clear any error if exist..
INFO | Function: main | 02/17/2022 11:50:07: ------------------- New Execution ----------------

INFO | Function: main | 02/17/2022 11:50:07: Donate on BUSD/BCOIN/ETH/BNB (BEP20): 0xf1e43519fca44d9308f889baf99531ed0de903fc
INFO | Function: main | 02/17/2022 11:50:07: Donate on PayPal: https://www.paypal.com/donate/?hosted_button_id=82CABN6CYVG6U
INFO | Function: main | 02/17/2022 11:50:07: Donate on Nubank: https://nubank.com.br/pagar/1jxcl/z5fyuL6S28
INFO | Function: main | 02/17/2022 11:50:07: Donate on Pix: 42a762ed-e6ec-4059-a88e-f168b9fbc63f
INFO | Function: main | 02/17/2022 11:50:07: Starting Bot..... Bot started!
INFO | Function: main | 02/17/2022 11:50:08: Scheduling to the refresh game every 5 minute(s)!
INFO | Function: main | 02/17/2022 11:50:08: Scheduling the time for ships to fight every 30 minute(s)!
INFO | Function: main | 02/17/2022 11:50:08: Scheduling the time for refreshing the browser every 60 minute(s)!
INFO | Function: main | 02/17/2022 11:50:08: Scheduling to take screenshot from coins every 60 minute(s)!
INFO | Function: get_browser | 02/17/2022 11:50:08: Profiles selected: Principal, SPACE2
INFO | Function: main | 02/17/2022 11:50:08: Number of accounts that the bot will run: 2
INFO | Function: first_start | 02/17/2022 11:50:12: Bot (Principal):  First start function..
INFO | Function: continue_fighting | 02/17/2022 11:50:12: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: send_ships_to_fight | 02/17/2022 11:50:13: Bot (Principal):  [Work] Calling send ships to fight function..
