INFO | Function: new_map | 02/18/2022 00:00:04: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/18/2022 00:00:04: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: send_ships_to_fight | 02/18/2022 00:00:04: Bot (SPACE2):  [Work] Calling send ships to fight function..
INFO | Function: go_to_ships | 02/18/2022 00:00:11: Bot (SPACE2):  Going to ships menu..
INFO | Function: send_ships_to_fight | 02/18/2022 00:01:49: Bot (SPACE2):  Ships were sending to fight!
INFO | Function: fight_boss | 02/18/2022 00:01:53: Bot (SPACE2):  Fight boss game mode clicked..
INFO | Function: confirm_button | 02/18/2022 00:01:57: Bot (SPACE2):  Confirm buttom clicked..
INFO | Function: skip_error_on_game | 02/18/2022 00:02:00: Checking if game has any erros or crash..
INFO | Function: refresh_game | 02/18/2022 00:02:00: Bot (SPACE2):  [Refresh] Calling refresh heroes position function..
INFO | Function: connect_wallet | 02/18/2022 00:02:04: Checking if needs to connect wallet..
INFO | Function: play_game | 02/18/2022 00:02:04: Checking if needs to play game..
INFO | Function: login_metamask | 02/18/2022 00:02:04: Checking if need to login in Metamask..
INFO | Function: new_map | 02/18/2022 00:02:11: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/18/2022 00:02:11: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: send_ships_to_fight | 02/18/2022 00:02:11: Bot (Principal):  [Work] Calling send ships to fight function..
INFO | Function: go_to_ships | 02/18/2022 00:02:17: Bot (Principal):  Going to ships menu..
INFO | Function: send_ships_to_fight | 02/18/2022 00:03:21: Bot (Principal):  Ships were sending to fight!
INFO | Function: fight_boss | 02/18/2022 00:03:26: Bot (Principal):  Fight boss game mode clicked..
INFO | Function: skip_error_on_game | 02/18/2022 00:03:29: Checking if game has any erros or crash..
INFO | Function: refresh_game | 02/18/2022 00:03:30: Bot (Principal):  [Refresh] Calling refresh heroes position function..
INFO | Function: connect_wallet | 02/18/2022 00:03:33: Checking if needs to connect wallet..
INFO | Function: play_game | 02/18/2022 00:03:33: Checking if needs to play game..
INFO | Function: login_metamask | 02/18/2022 00:03:33: Checking if need to login in Metamask..
INFO | Function: new_map | 02/18/2022 00:03:41: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/18/2022 00:03:42: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/18/2022 00:03:42: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/18/2022 00:03:46: Checking if needs to connect wallet..
INFO | Function: play_game | 02/18/2022 00:03:46: Checking if needs to play game..
INFO | Function: login_metamask | 02/18/2022 00:03:46: Checking if need to login in Metamask..
INFO | Function: new_map | 02/18/2022 00:03:54: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/18/2022 00:03:55: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/18/2022 00:03:55: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/18/2022 00:03:59: Checking if needs to connect wallet..
INFO | Function: play_game | 02/18/2022 00:03:59: Checking if needs to play game..
INFO | Function: login_metamask | 02/18/2022 00:03:59: Checking if need to login in Metamask..
INFO | Function: new_map | 02/18/2022 00:04:06: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/18/2022 00:04:06: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/18/2022 00:04:06: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/18/2022 00:04:09: Checking if needs to connect wallet..
INFO | Function: play_game | 02/18/2022 00:04:10: Checking if needs to play game..
INFO | Function: login_metamask | 02/18/2022 00:04:10: Checking if need to login in Metamask..
INFO | Function: new_map | 02/18/2022 00:04:17: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/18/2022 00:04:17: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/18/2022 00:04:17: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/18/2022 00:04:21: Checking if needs to connect wallet..
INFO | Function: play_game | 02/18/2022 00:04:21: Checking if needs to play game..
INFO | Function: login_metamask | 02/18/2022 00:04:21: Checking if need to login in Metamask..
INFO | Function: new_map | 02/18/2022 00:04:28: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/18/2022 00:04:29: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/18/2022 00:04:29: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/18/2022 00:04:33: Checking if needs to connect wallet..
INFO | Function: play_game | 02/18/2022 00:04:33: Checking if needs to play game..
INFO | Function: login_metamask | 02/18/2022 00:04:33: Checking if need to login in Metamask..
INFO | Function: new_map | 02/18/2022 00:04:40: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/18/2022 00:04:40: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/18/2022 00:04:41: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/18/2022 00:04:43: Checking if needs to connect wallet..
INFO | Function: play_game | 02/18/2022 00:04:43: Checking if needs to play game..
INFO | Function: login_metamask | 02/18/2022 00:04:44: Checking if need to login in Metamask..
INFO | Function: new_map | 02/18/2022 00:04:51: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/18/2022 00:04:51: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/18/2022 00:04:51: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/18/2022 00:04:54: Checking if needs to connect wallet..
INFO | Function: play_game | 02/18/2022 00:04:55: Checking if needs to play game..
INFO | Function: login_metamask | 02/18/2022 00:04:55: Checking if need to login in Metamask..
INFO | Function: new_map | 02/18/2022 00:05:02: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/18/2022 00:05:02: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/18/2022 00:05:02: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/18/2022 00:05:06: Checking if needs to connect wallet..
INFO | Function: play_game | 02/18/2022 00:05:06: Checking if needs to play game..
INFO | Function: login_metamask | 02/18/2022 00:05:06: Checking if need to login in Metamask..
INFO | Function: new_map | 02/18/2022 00:05:13: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/18/2022 00:05:13: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/18/2022 00:05:13: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/18/2022 00:05:17: Checking if needs to connect wallet..
INFO | Function: play_game | 02/18/2022 00:05:17: Checking if needs to play game..
INFO | Function: login_metamask | 02/18/2022 00:05:17: Checking if need to login in Metamask..
INFO | Function: new_map | 02/18/2022 00:05:23: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/18/2022 00:05:24: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/18/2022 00:05:24: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/18/2022 00:05:27: Checking if needs to connect wallet..
INFO | Function: play_game | 02/18/2022 00:05:27: Checking if needs to play game..
INFO | Function: login_metamask | 02/18/2022 00:05:27: Checking if need to login in Metamask..
INFO | Function: new_map | 02/18/2022 00:05:34: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/18/2022 00:05:36: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/18/2022 00:05:36: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/18/2022 00:05:39: Checking if needs to connect wallet..
INFO | Function: play_game | 02/18/2022 00:05:39: Checking if needs to play game..
INFO | Function: login_metamask | 02/18/2022 00:05:40: Checking if need to login in Metamask..
INFO | Function: new_map | 02/18/2022 00:05:46: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/18/2022 00:05:48: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/18/2022 00:05:48: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/18/2022 00:05:52: Checking if needs to connect wallet..
INFO | Function: play_game | 02/18/2022 00:05:52: Checking if needs to play game..
INFO | Function: login_metamask | 02/18/2022 00:05:52: Checking if need to login in Metamask..
INFO | Function: new_map | 02/18/2022 00:05:59: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/18/2022 00:05:59: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/18/2022 00:05:59: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/18/2022 00:06:02: Checking if needs to connect wallet..
INFO | Function: play_game | 02/18/2022 00:06:02: Checking if needs to play game..
INFO | Function: login_metamask | 02/18/2022 00:06:03: Checking if need to login in Metamask..
INFO | Function: new_map | 02/18/2022 00:06:09: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/18/2022 00:06:09: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/18/2022 00:06:09: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/18/2022 00:06:13: Checking if needs to connect wallet..
INFO | Function: play_game | 02/18/2022 00:06:13: Checking if needs to play game..
INFO | Function: login_metamask | 02/18/2022 00:06:13: Checking if need to login in Metamask..
INFO | Function: new_map | 02/18/2022 00:06:19: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/18/2022 00:06:19: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/18/2022 00:06:20: Checking if game has any erros or crash..
