INFO | Function: connect_wallet | 02/19/2022 00:00:03: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:00:03: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:00:03: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:00:10: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:00:10: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:00:11: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:00:14: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:00:14: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:00:15: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:00:21: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:00:21: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:00:21: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:00:25: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:00:25: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:00:25: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:00:32: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:00:33: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:00:33: Checking if game has any erros or crash..
INFO | Function: refresh_game | 02/19/2022 00:00:33: Bot (SPACE2):  [Refresh] Calling refresh heroes position function..
INFO | Function: send_ships_to_fight | 02/19/2022 00:00:34: Bot (SPACE2):  [Work] Calling send ships to fight function..
INFO | Function: go_to_ships | 02/19/2022 00:00:40: Bot (SPACE2):  Going to ships menu..
WARNING | Function: reload_page | 02/19/2022 00:00:43: Bot (SPACE2):  [Reload] Reloading the page in order to clear any error if exist..
INFO | Function: connect_wallet | 02/19/2022 00:01:17: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:01:17: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:01:17: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:01:24: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:01:24: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:01:25: Checking if game has any erros or crash..
INFO | Function: refresh_game | 02/19/2022 00:01:25: Bot (Principal):  [Refresh] Calling refresh heroes position function..
INFO | Function: send_ships_to_fight | 02/19/2022 00:01:25: Bot (Principal):  [Work] Calling send ships to fight function..
INFO | Function: go_to_ships | 02/19/2022 00:01:31: Bot (Principal):  Going to ships menu..
INFO | Function: send_ships_to_fight | 02/19/2022 00:02:39: Bot (Principal):  Ships were sending to fight!
INFO | Function: fight_boss | 02/19/2022 00:02:44: Bot (Principal):  Fight boss game mode clicked..
WARNING | Function: reload_page | 02/19/2022 00:02:47: Bot (Principal):  [Reload] Reloading the page in order to clear any error if exist..
INFO | Function: connect_wallet | 02/19/2022 00:03:19: Checking if needs to connect wallet..
INFO | Function: connect_wallet | 02/19/2022 00:03:23: Bot (SPACE2):  Connect wallet button clicked..
INFO | Function: play_game | 02/19/2022 00:03:25: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:03:25: Checking if need to login in Metamask..
INFO | Function: open_metamask | 02/19/2022 00:03:35: Bot (SPACE2):  Metamask icon clicked..
INFO | Function: signin_metamask | 02/19/2022 00:03:43: Bot (SPACE2):  Metamask signed..
INFO | Function: new_map | 02/19/2022 00:03:48: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:03:48: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:03:49: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:03:52: Checking if needs to connect wallet..
INFO | Function: connect_wallet | 02/19/2022 00:03:57: Bot (Principal):  Connect wallet button clicked..
INFO | Function: play_game | 02/19/2022 00:03:58: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:03:58: Checking if need to login in Metamask..
INFO | Function: open_metamask | 02/19/2022 00:04:08: Bot (Principal):  Metamask icon clicked..
INFO | Function: signin_metamask | 02/19/2022 00:04:16: Bot (Principal):  Metamask signed..
INFO | Function: new_map | 02/19/2022 00:04:20: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:04:21: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:04:21: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:04:24: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:04:24: Checking if needs to play game..
INFO | Function: play_game | 02/19/2022 00:04:29: Bot (SPACE2):  Play game button clicked..
INFO | Function: send_ships_to_fight | 02/19/2022 00:04:37: Bot (SPACE2):  [Work] Calling send ships to fight function..
INFO | Function: go_to_ships | 02/19/2022 00:04:44: Bot (SPACE2):  Going to ships menu..
INFO | Function: remove_ships_from_fight | 02/19/2022 00:05:38: Bot (SPACE2):  Ships were removed from fight!
INFO | Function: send_ships_to_fight | 02/19/2022 00:06:33: Bot (SPACE2):  Ships were sending to fight!
INFO | Function: fight_boss | 02/19/2022 00:06:38: Bot (SPACE2):  Fight boss game mode clicked..
INFO | Function: confirm_button | 02/19/2022 00:06:41: Bot (SPACE2):  Confirm buttom clicked..
INFO | Function: login_metamask | 02/19/2022 00:06:43: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:06:50: Bot (SPACE2):  Checking if is there any new map..
